,香港交易所代号,股票简称,上市日期
21,0023,东亚银行,1939-01-02
17,0019,太古股份公司Ａ（太古A）,1959-04-14
2,0003,香港中华煤气,1960-04-11
53,0062,载通,1961-05-01
23,0026,中华汽车,1962-01-15
133,0154,北京控股环境,1970-01-01
60,0071,美丽华酒店,1970-07-25
44,0051,海港企业,1971-02-15
10,0011,恒生银行,1972-06-20
125,0145,建屋贷款,1972-06-29
136,0158,万邦投资,1972-08-29
14,0016,新鸿基地产,1972-09-08
138,0160,汉国置业,1972-09-16
32,0035,远东发展,1972-09-21
132,0152,深圳国际,1972-09-25
72,0084,宝光实业,1972-10-02
9,0010,恒隆集团,1972-10-12
88,0101,恒隆地产,1972-10-12
38,0041,鹰君,1972-10-20
0,0001,长和,1972-11-01
85,0097,恒基发展,1972-11-06
140,0163,英皇国际,1972-11-14
112,0128,安宁控股,1972-11-16
15,0017,新世界发展,1972-11-23
76,0088,大昌集团,1972-12-11
20,0022,茂盛控股,1972-12-14
19,0021,大中华地产控股,1973-01-02
113,0129,泛海国际,1973-01-24
26,0029,达力集团,1973-01-25
141,0164,中国宝力科技,1973-01-26
115,0131,卓能 (集团),1973-02-09
95,0108,国锐地产,1973-02-09
33,0036,远东控股国际,1973-02-12
77,0089,大生地产,1973-02-21
156,0181,闽港控股,1973-02-22
147,0171,银建国际,1973-02-23
150,0175,吉利汽车,1973-02-23
142,0165,中国光大控股,1973-02-26
129,0149,中国农产品交易,1973-03-12
118,0135,昆仑能源,1973-03-13
98,0113,迪生创建,1973-03-15
101,0116,周生生,1973-04-06
75,0087,太古股份公司Ｂ（太古B）,1973-05-01
116,0132,中国兴业控股,1973-05-18
104,0119,保利置业,1973-08-30
126,0146,太平地毡,1973-11-07
29,0032,港通控股,1974-07-30
34,0037,远东酒店实业,1979-07-03
4,0005,汇丰控股,1980-01-02
66,0078,富豪国际,1980-11-06
71,0083,信和置业,1981-04-08
79,0091,金禧国际控股,1981-06-29
11,0012,恒基地产,1981-07-23
28,0031,航天控股,1981-08-25
13,0014,希慎兴业,1981-09-18
46,0053,国浩集团,1983-05-03
74,0086,新鸿基公司,1983-10-03
87,0099,王氏国际,1983-12-15
69,0081,中国海外宏洋集团,1984-04-26
37,0040,金山科技 (前称金山工业),1984-07-02
154,0179,德昌电机,1984-07-11
64,0076,谊砾控股,1984-09-24
63,0075,渝太地产,1984-11-12
22,0025,其士国际,1984-12-05
155,0180,开达集团,1985-05-24
137,0159,布莱克万矿业,1985-07-05
92,0105,凯联国际,1985-10-24
54,0063,中国烯谷集团,1986-02-26
93,0106,朗诗绿色地产,1986-03-24
148,0173,嘉华国际,1987-02-06
111,0127,华人置业,1987-03-09
25,0028,天安,1987-03-18
99,0114,兴利集团,1987-04-09
91,0104,冠亚商业,1987-07-29
16,0018,东方报业集团,1987-08-18
127,0147,国际商业结算,1988-06-06
82,0094,绿心集团,1988-06-21
123,0142,第一太平,1988-09-12
149,0174,盛洋投资,1988-10-05
144,0167,万威国际,1988-10-21
103,0118,大同机械,1988-12-12
474,0583,长城环亚控股,1990-06-29
521,0639,首钢资源,1990-10-02
523,0641,中国恒天立信,1990-10-12
527,0648,中国华仁医疗,1990-10-29
537,0661,大冶有色金属矿业,1990-11-21
539,0663,金山能源,1990-11-30
543,0669,创科实业,1990-12-17
547,0674,中国唐商,1991-01-25
550,0677,金源米业,1991-01-28
551,0679,亚洲联网科技,1991-01-31
568,0697,首程控股,1991-01-31
552,0680,南海控股,1991-02-13
557,0685,世界华文媒体,1991-03-22
561,0689,长盈集团（控股）,1991-04-15
574,0704,和嘉控股,1991-05-27
577,0709,佐丹奴国际,1991-06-19
578,0710,京东方精电,1991-07-01
582,0715,中泛控股,1991-07-05
587,0720,意达利控股,1991-07-16
590,0723,信保环球控股,1991-07-18
593,0726,筑友智造科技,1991-07-25
598,0732,信利国际,1991-07-29
331,0383,中国医疗网络,1991-08-01
596,0730,首惠产业金融,1991-08-08
351,0408,叶氏化工集团,1991-08-22
350,0406,有利集团,1991-08-29
508,0622,威华达控股,1991-09-16
502,0616,高山企业,1991-09-16
538,0662,亚洲金融集团,1991-09-16
506,0620,大唐西市,1991-09-30
510,0626,大众金融控股,1991-10-03
504,0618,北大资源（控股）,1991-10-07
24,0027,银河娱乐,1991-10-07
45,0052,大快活集团,1991-10-09
27,0030,万隆控股集团,1991-10-09
48,0057,震雄集团,1991-10-22
81,0093,添利工业,1991-10-23
70,0082,第一视频,1991-10-25
110,0126,佳宁娜集团,1991-11-01
121,0138,中建富通,1991-11-11
157,0182,协合新能源,1991-11-27
181,0211,大凌集团,1991-12-05
120,0137,金辉集团,1991-12-06
200,0232,中国航空工业国际,1991-12-12
285,0333,黛丽斯国际,1991-12-16
288,0336,华宝国际,1992-01-22
422,0517,中远海运国际 (香港),1992-02-11
320,0372,德祥企业,1992-02-13
374,0439,光启科学,1992-03-11
378,0450,鸿兴印刷集团,1992-03-16
379,0451,协鑫新能源,1992-03-25
380,0455,天大药业,1992-03-30
387,0467,联合能源集团,1992-04-08
90,0103,首长宝佳,1992-04-09
408,0497,资本策略地产,1992-04-15
405,0493,国美零售 (前称：国美电器),1992-04-15
354,0412,中国山东高速金融,1992-04-15
404,0491,英皇文化产业,1992-06-10
449,0551,裕元集团,1992-07-02
446,0547,数字王国,1992-07-06
124,0144,招商局港口,1992-07-15
275,0321,德永佳集团,1992-08-06
433,0529,新龙国际,1992-08-18
300,0351,亚洲能源物流,1992-08-18
80,0092,冠军科技集团,1992-08-19
560,0688,中国海外发展,1992-08-20
498,0610,惠记集团,1992-08-28
47,0055,中星集团控股,1992-09-10
367,0431,大中华金融,1992-09-16
437,0533,金利来集团,1992-09-18
284,0332,元亨燃气,1992-09-25
609,0752,笔克远东,1992-09-28
528,0650,IDG能源,1992-10-07
434,0530,高银金融,1992-10-08
531,0655,香港华人有限公司,1992-10-12
621,0765,威发国际,1992-10-23
612,0755,上海证大,1992-10-27
533,0657,环科国际,1992-10-30
556,0684,亚伦国际,1992-11-10
263,0308,香港中旅,1992-11-11
278,0326,中国星,1992-11-12
280,0328,爱高集团,1992-11-27
602,0738,莱尔斯丹,1992-12-11
107,0123,越秀地产,1992-12-15
51,0060,香港食品投资,1992-12-16
268,0313,裕田中国,1993-01-05
489,0601,稀镁科技,1993-01-28
536,0660,伟俊生物科技,1993-02-05
579,0711,亚洲联合基建控股,1993-02-12
499,0611,中国核能科技,1993-02-12
348,0403,星光集团,1993-03-03
294,0342,新海能源,1993-03-03
219,0255,龙记集团,1993-03-05
463,0570,中国中药,1993-04-07
493,0605,中国金融投资管理,1993-04-07
581,0713,世界（集团）,1993-04-15
325,0377,华君控股,1993-04-19
319,0371,北控水务集团,1993-04-19
491,0603,中油燃气,1993-05-28
58,0069,香格里拉(亚洲),1993-06-17
67,0079,世纪建业,1993-07-08
583,0716,胜狮货柜,1993-07-08
145,0168,青岛啤酒,1993-07-15
505,0619,南华金融,1993-07-16
394,0479,华建控股,1993-07-21
117,0133,招商局中国基金,1993-07-22
162,0187,京城机电股份,1993-08-06
223,0259,亿都（国际控股）,1993-09-01
458,0563,上实城市开发,1993-09-10
368,0432,盈大地产,1993-09-20
409,0498,蓝河控股 (前称：保华集团),1993-09-21
488,0600,中国基建投资,1993-10-05
128,0148,建滔化工集团,1993-10-08
344,0398,东方表行集团,1993-10-12
343,0397,权威金融（前称：君阳金融）,1993-10-13
333,0385,建联集团,1993-10-15
339,0391,美亚娱乐资讯,1993-10-18
501,0613,梧桐国际,1993-11-12
50,0059,天誉置业,1993-11-16
625,0770,沪光国际,1993-11-30
282,0330,思捷环球,1993-12-09
365,0428,中国天弓控股 (前称：汇嘉中国),1993-12-14
503,0617,百利保控股,1993-12-17
525,0645,安域亚洲,1993-12-22
517,0635,彩星集团,1994-01-06
89,0102,凯升控股,1994-01-10
790,0988,丝路物流控股,1994-01-21
792,0990,荣晖国际,1994-01-25
789,0987,中国再生能源投资,1994-01-27
787,0985,中誉集团,1994-02-02
788,0986,中国环保能源,1994-02-02
786,0984,永旺,1994-02-04
794,0992,联想集团,1994-02-14
795,0993,华融金控,1994-02-16
798,0996,嘉年华国际,1994-02-17
802,1001,沪港联合,1994-02-18
806,1005,美力时集团,1994-02-18
810,1010,太睿国际控股,1994-02-18
804,1003,欢喜传媒,1994-02-21
122,0139,中国软实力科技,1994-03-15
171,0199,德祥地产,1994-03-18
824,1033,中石化油服,1994-03-29
296,0345,维他奶国际,1994-03-30
827,1037,云智汇科技,1994-04-14
835,1047,毅兴行,1994-04-25
836,1049,时富投资,1994-04-27
151,0176,先机企业集团,1994-04-27
838,1051,国际资源,1994-04-29
848,1063,新确科技,1994-05-10
845,1060,阿里巴巴影业,1994-05-12
850,1065,天津创业环保股份,1994-05-17
856,1072,东方电气,1994-06-06
872,1093,石药集团,1994-06-21
886,1108,洛阳玻璃股份,1994-07-08
895,1118,高力集团,1994-07-15
899,1122,庆铃汽车股份,1994-08-17
900,1123,中港照相,1994-09-19
939,1170,信星集团,1994-09-29
950,1184,时捷集团,1994-10-17
948,1182,胜龙国际,1994-10-17
7,0008,电讯盈科,1994-10-18
957,1193,华润燃气,1994-11-07
913,1138,中远海能,1994-11-11
909,1132,橙天嘉禾,1994-11-23
966,1203,广南（集团）,1994-12-09
965,1202,成都普天电缆,1994-12-13
971,1208,五矿资源,1994-12-15
910,1133,哈尔滨电气,1994-12-16
962,1199,中远海运港口,1994-12-19
979,1218,永义国际,1995-01-30
982,1222,宏安集团,1995-02-28
983,1223,新沣集团,1995-03-01
981,1221,信和酒店,1995-03-08
953,1188,正道集团,1995-04-06
989,1229,南南资源,1995-04-13
963,1200,美联集团,1995-06-08
31,0034,九龙建业,1995-07-04
39,0042,东北电气,1995-07-06
617,0760,新天地产集团,1995-08-08
724,0900,Aeon信贷,1995-09-14
585,0718,太和控股,1995-10-02
430,0526,利时集团控股,1995-10-11
332,0384,中国燃气,1995-10-20
180,0210,达芙妮国际,1995-11-03
752,0933,光汇石油,1995-11-16
622,0767,中基长寿科学,1995-11-20
597,0731,森信纸业集团,1995-12-01
507,0621,坛金矿业,1995-12-18
419,0512,远大医药,1995-12-19
358,0418,方正控股,1995-12-21
276,0322,康师傅控股,1996-02-05
318,0370,国华,1996-03-26
730,0907,高雅光学国际,1996-04-11
451,0553,南京熊猫电子股份,1996-05-02
429,0525,广深铁路股份,1996-05-14
393,0476,科轩动力控股 (前称：中国动力控股),1996-05-24
312,0363,上海实业控股,1996-05-30
941,1172,融太集团,1996-06-12
876,1098,路劲基建,1996-07-04
883,1105,星岛,1996-07-10
828,1038,长江基建集团,1996-07-17
823,1031,金利丰金融,1996-07-23
741,0921,海信家电集团,1996-07-23
555,0683,嘉里建设,1996-08-05
540,0665,海通国际,1996-08-06
341,0393,旭日企业,1996-09-17
262,0306,冠忠巴士,1996-09-25
255,0297,中化化肥,1996-09-30
549,0676,创信国际,1996-10-11
546,0673,中国卫生集团,1996-10-14
270,0315,数码通电讯,1996-10-31
826,1036,万科置业海外,1996-11-08
897,1120,雅视光学,1996-11-08
887,1109,华润置地,1996-11-08
797,0995,安徽皖通高速公路,1996-11-13
514,0630,隽泰控股,1996-11-28
943,1176,珠光控股,1996-12-09
936,1166,星凯控股,1996-12-12
837,1050,嘉利国际,1996-12-16
843,1058,粤海制革,1996-12-16
833,1045,亚太卫星,1996-12-18
830,1041,林达控股,1996-12-27
592,0725,恒都集团,1996-12-30
586,0719,山东新华制药股份,1996-12-31
548,0675,坚宝国际,1997-01-02
456,0559,德泰新能源,1997-01-03
976,1215,开源控股,1997-01-17
960,1196,伟禄集团,1997-01-20
946,1180,汇彩控股,1997-01-20
844,1059,看通集团,1997-01-23
839,1052,越秀交通,1997-01-30
812,1013,伟俊集团控股,1997-02-03
785,0983,瑞安建业,1997-02-03
544,0670,中国东方航空股份,1997-02-05
718,0894,万裕科技,1997-03-05
492,0604,深圳控股,1997-03-07
475,0585,意马国际,1997-03-10
447,0548,深圳高速公路,1997-03-12
908,1131,鸿宝资源,1997-03-19
707,0878,金朝阳集团,1997-03-21
793,0991,大唐发电,1997-03-21
292,0340,潼关黄金,1997-03-26
706,0876,佳兆业健康,1997-04-10
553,0681,中民控股,1997-04-24
535,0659,新创建集团,1997-04-25
520,0638,建溢集团,1997-05-01
480,0590,六福集团,1997-05-06
478,0588,北京北辰实业股份,1997-05-14
469,0576,浙江沪杭甬,1997-05-15
468,0575,寿康集团,1997-05-19
457,0560,珠江船务,1997-05-23
452,0554,汉思能源,1997-05-28
340,0392,北京控股,1997-05-29
907,1130,中国环境资源,1997-06-03
226,0262,迪臣发展国际,1997-06-10
307,0358,江西铜业股份,1997-06-12
286,0334,华显光电,1997-06-18
35,0038,第一拖拉机股份,1997-06-23
759,0943,中证国际,1997-06-25
781,0979,绿色能源科技集团,1997-06-26
152,0177,江苏宁沪高速公路,1997-06-27
298,0347,鞍钢股份,1997-07-24
73,0085,中电华大科技,1997-07-25
841,1055,中国南方航空股份,1997-07-31
912,1137,香港科技探索,1997-08-04
108,0124,粤海置地,1997-08-08
951,1185,中国航天万源,1997-08-11
968,1205,中信资源,1997-09-08
775,0970,新耀莱,1997-09-18
980,1220,志道国际,1997-09-23
765,0952,中国通海金融,1997-09-24
119,0136,恒腾网络,1997-09-25
756,0938,民生国际,1997-09-26
299,0348,中国智能健康,1997-09-30
769,0959,世纪娱乐国际,1997-10-03
484,0595,先思行集团,1997-10-03
954,1189,大湾区聚变力量,1997-10-06
94,0107,四川成渝高速公路,1997-10-07
805,1004,中国智慧能源,1997-10-09
849,1064,中华国际,1997-10-13
739,0918,国能国际资产,1997-10-15
901,1124,沿海家园,1997-10-16
780,0978,招商局置地,1997-10-16
840,1053,重庆钢铁股份,1997-10-17
791,0989,华音国际控股,1997-10-20
736,0914,安徽海螺水泥股份,1997-10-21
758,0941,中国移动,1997-10-23
723,0899,亚洲资源,1997-10-24
704,0874,白云山医药集团,1997-10-30
721,0897,位元堂,1997-10-31
626,0771,自动系统,1997-11-05
902,1125,丽丰控股,1997-11-28
710,0882,天津发展,1997-12-10
655,0818,高阳科技,1997-12-22
745,0925,北京建设,1998-01-15
594,0727,皇冠环球集团,1998-01-16
726,0902,华能国际电力,1998-01-21
914,1139,华多利集团,1998-02-16
916,1141,民银资本,1998-03-12
929,1159,星光文化,1998-03-13
940,1171,兖州煤业股份,1998-04-01
41,0046,科联系统,1998-05-18
611,0754,合生创展集团,1998-05-27
938,1168,百仕达控股,1998-06-08
956,1192,泰山石化,1998-06-17
964,1201,天臣控股,1998-06-23
705,0875,中国金控投资,1998-07-03
564,0693,陈唱国际,1998-07-07
728,0905,环球大通投资,1998-07-17
529,0651,中海重工,1998-07-23
722,0898,万事昌国际,1998-07-31
143,0166,新时代能源,1998-10-13
693,0862,远见控股,1998-10-14
732,0910,中国三迪控股,1998-12-01
682,0851,盛源控股,1998-12-02
832,1044,恒安国际,1998-12-08
985,1225,隆成金融,1998-12-18
882,1104,亚太资源,1998-12-29
689,0858,精优药业,1999-03-10
942,1173,威高国际,1999-04-19
984,1224,中渝置地,1999-04-30
109,0125,新兴光学,1999-05-25
753,0934,中石化冠德,1999-06-25
855,1071,华电国际电力股份,1999-06-30
52,0061,绿领控股,1999-07-06
834,1046,寰宇娱乐文化,1999-07-20
49,0058,新威国际,1999-09-03
760,0945,宏利金融,1999-09-27
686,0855,中国水务,1999-10-11
100,0115,钧濠集团,1999-10-13
624,0769,中国稀土,1999-10-15
891,1114,华晨中国,1999-10-22
735,0913,港湾数字,1999-10-27
616,0759,CEC国际控股,1999-11-15
831,1043,光宇国际集团,1999-11-17
875,1097,有线宽频,1999-11-24
857,1073,浩伦农科,1999-11-25
854,1070,TCL多媒体,1999-11-26
860,1079,松景科技,1999-11-26
2218,8003,世大控股,1999-12-02
615,0758,新华联资本,1999-12-03
970,1207,上置集团,1999-12-10
606,0747,沈阳公用发展股份,1999-12-16
742,0922,安贤园中国,1999-12-21
